Country,Party system,Ruling party or coalition  Other parties,Last election
Afghanistan,One-party[a],Taliban,None; see 2021 takeover
Abkhazia,Multi-party,"Independents, AmtsakharaAitaira",2020 (presidential)2022 (parliament)
Åland,Multi-party,"Liberals, Centre, Social DemocratsObS, Moderate Coalition Sustainable Initiative",2023 (legislative)
Albania,Multi-party,"Socialist Party of Albania, PSDPD – Alliance for Change (PD, PR, PDIU, PAA, PLL, LZHK, PBDNJ), PL, PM",2021 (parliament)
Alderney,Non-partisan,Independents,2024 (general)
Algeria,Multi-party,"National Liberation Front, RND, Future Front, El-BinaMSP, LP, FBG, FDJ, EFED, PLJ, Jil Jadid, FAN, El Karama, FNA, FFS",2024 (presidential)2021 (legislative)
Andorra,Multi-party,"Democrats for Andorra, Committed Citizens, Action, LiberalsConcord, Social Democratic Party, Andorra Forward",2023 (parliament)
Angola,Dominant-party,"People's Movement for the Liberation of AngolaUNITA, PRS, FNLA, PHA",2022 (general)
Anguilla,Two-party,Anguilla Progressive MovementAnguilla United Front,2020 (general)
Antigua andBarbuda,Dominant-party,"Antigua and Barbuda Labour PartyUnited Progressive Party, Barbuda People's Movement",2023 (general)
Argentina,Multi-party,"La Libertad Avanza, Republican Proposal, MID, Independence, CREOUnion for the Homeland, UCR, HCF, IF, CC–ARI, FIT–Unidad, SER, PyT, MPN",2023 (general)2021 (legislative)
Armenia,Multi-party,"Civil Contract, United Labour PartyArmenia Alliance (ARF, independents), I Have Honor Alliance (RPA, independents)",2021 (parliament)
Aruba,Multi-party,"People's Electoral Movement, RAIZAVP, Aruban Sovereignty Movement, RED, Accion 21",2021 (general)
Ascension,Non-partisan,Independents,2022 (general)
Australia,Multi-party,"Labor PartyCoalition (Liberal, National) (off. opp.), Greens, Centre, KAP, One Nation, AV, JLN, UAP",2022 (federal)
Austria,Multi-party,"Austrian People's Party, The GreensFreedom Party, Social Democratic Party, NEOS",2024 (legislative)
Azerbaijan,Dominant-party,"New Azerbaijan Party, VHP, BAP, AVP, AMİP, ADMP, BQPƏHD, REAL, MCP, DİP",2024 (presidential)2024 (parliament)
Bahamas,Two-party,Progressive Liberal PartyFree National Movement,2021 (general)
Bahrain,Dominant-party,"Pro-monarchy independents, Al Rabitah, Gathering of National UnityProgressive Democratic Tribune",2022 (general)
Bangladesh,Multi-party,"Transitional non-partisan governmentLegislature dissolved, Awami League",2024 (general)See also: 2024 revolution
Barbados,Two-party,Barbados Labour PartyDemocratic Labour Party,2022 (general)
Belarus,Dominant-party,"Belaya Rus, Independents, RPTS, Communist PartyLiberal Democratic Party of Belarus[b]",2020 (presidential)2019 (parliament)
Belgium,Multi-party,"PS, MR, Ecolo, CD&V, Open Vld, Groen, VooruitN-VA, Vlaams Belang, PTB/PVDA, Les Engagés, DéFI",2024 (general)
Flanders,Multi-party,"N-VA, Vooruit, CD&VVB, Open Vld, PVDA, Groen, TFA",2024 (parliament)
Wallonia,Multi-party,"MR, LEPS, PTB, Ecolo",2024 (parliament)
Brussels,Multi-party,"PS, Ecolo, DéFI, Groen, Open Vld, VooruitMR, PTB/PVDA, LE, DierAnimal, N-VA, VB, CD&V, Agora",2024 (parliament)
German-speaking Community,Multi-party,"ProDG, CSP, PFFVivant, SP, Ecolo",2024 (parliament)
Belize,Two-party,People's United PartyUnited Democratic Party,2020 (general)
Benin,Multi-party,"Progressive Union for Renewal, Republican BlocThe Democrats",2021 (presidential)2023 (parliament)
Bermuda,Two-party,Progressive Labour PartyOne Bermuda Alliance,2020 (general)
Bhutan,Two-party,People's Democratic PartyBhutan Tendrel Party,2023–24 (legislative)
Bolivia,Multi-party,"Movement for SocialismCivic Community (FRI), Creemos (PDC, UCS)",2020 (general)
Bonaire,Multi-party,"Bonaire People's MovementBonaire Democratic Party, Bonaire Patriotic Union",2023 (general)
Bosnia andHerzegovina,Multi-party,"SNSD, HDZ BiH, NiP, SDP BiH, DNS, NS, ZNG, DEMOS, US, BHI KFSDA, DF-Civic Alliance, SDS, PDP, NES, ZPR, NPD",2022 (general)
Botswana,Multi-party,"Umbrella for Democratic Change, Botswana Patriotic FrontBCP (official opposition), Botswana Democratic Party",2024 (general)
Brazil,Multi-party,"Brazil of Hope, PSD, MDB, PDT, PSB,  PSOL-REDE, Avante, Solidarity PL, Brazil Union, PP, Republicans, PSDB-Cidadania, Podemos, PRD, NOVO",2022 (general)
Brunei,One-party,IndependentsNo parliamentary opposition,No elections
Bulgaria,Multi-party,"Caretaker non-partisan governmentGERB–SDS, PP–DB, Revival, 	DPS–NN, BSP–OL, APS, ITN, MECh",2021 (presidential)Oct 2024 (parliament)
Burkina Faso,Military junta,MPSR (civilian government suspended),Sep 2022 coup d'état
Burundi,Dominant-party,"National Council for the Defense of DemocracyNational Congress for Liberty, Union for National Progress",2020 (general)
Cambodia,Dominant-party,"Cambodian People's PartyFUNCINPEC, Khmer Will Party",2023 (parliament)
Cameroon,Dominant-party,"Cameroon People's Democratic Movement UNDP, SDF, CPNR, Cameroon Democratic Union, FNSC, MDR, USM",2018 (presidential)2020 (parliament)
Canada,Multi-party,"Liberal Party (minority), New Democratic PartyConservative Party (main opposition), Bloc Québécois, Green Party",2021 (federal)
Cape Verde,Multi-party,"Movement for DemocracyPAICV (president's party), UCID",2021 (presidential)2021 (parliament)
Cayman Islands,Two-party,United People's MovementPeople's Progressive Movement,2021 (general)
Central AfricanRepublic,Dominant-party,"United Hearts MovementKwa Na Kwa, URCA, MLPC, MOUNI, RDC and others",2020–21 (general)
Chad,Dominant-party,"Patriotic Salvation MovementParliament dissolved, UNDR, URD, RNDT, FAR, Les Transformateurs",2024 (presidential)
Chile,Multi-party,"Government Alliance (FA, PS, PCCh, PPD, PL, PR, AH, FREVS), PDCChile Vamos (UDI, RN, Evópoli), PLR, PSC, Democrats, Amarillos",2021 (general)
China (PRC),One-party,"Chinese Communist Party, minor parties (CPWDP, JS, CDL, CAPD, CNDCA, RCCK, TDSL, CZGP)",2023 (congressional)
